Date,Actual,Predicted,Difference
2024-07-05,56662.38,59640.32,-2977.95
2024-07-06,58303.54,58630.28,-326.75
2024-07-07,55849.11,57808.45,-1959.34
2024-07-08,56705.10,56830.44,-125.34
2024-07-09,58009.23,56054.86,1954.36
2024-07-10,57742.50,55704.66,2037.84
2024-07-11,57344.91,55619.92,1724.99
2024-07-12,57899.46,55660.82,2238.64
2024-07-13,59231.95,55868.08,3363.88
2024-07-14,60787.79,56353.12,4434.68
2024-07-15,64870.15,57172.25,7697.90
2024-07-16,65097.15,58700.92,6396.23
2024-07-17,64118.79,60455.99,3662.80
2024-07-18,63974.07,61936.20,2037.86
2024-07-19,66710.16,63003.88,3706.27
2024-07-20,67163.65,64081.60,3082.05
2024-07-21,68154.52,65031.94,3122.59
2024-07-22,67585.25,65895.98,1689.27
2024-07-23,65927.67,66449.46,-521.79
2024-07-24,65372.13,66443.01,-1070.88
2024-07-25,65777.23,66001.62,-224.40
2024-07-26,67912.06,65416.30,2495.76
2024-07-27,67813.34,65155.66,2657.67
2024-07-28,68255.87,65083.67,3172.20
2024-07-29,66819.91,65206.89,1613.02
2024-07-30,66201.02,65194.20,1006.82
2024-07-31,64619.25,65018.09,-398.84
2024-08-01,65357.50,64524.75,832.75
2024-08-02,61415.07,64051.49,-2636.43
2024-08-03,60680.09,63033.10,-2353.00
2024-08-04,58116.98,61772.48,-3655.51
2024-08-05,53991.46,60172.35,-6180.89
2024-08-06,56034.32,58011.83,-1977.52
2024-08-07,55027.46,56196.30,-1168.83
2024-08-08,61710.14,54695.97,7014.17
2024-08-09,60880.11,54624.72,6255.39
2024-08-10,60945.81,55286.98,5658.83
2024-08-11,58719.48,56353.62,2365.87
2024-08-12,59354.52,57199.05,2155.46
2024-08-13,60609.57,57917.55,2692.02
2024-08-14,58737.27,58648.26,89.01
2024-08-15,57560.10,58980.12,-1420.03
2024-08-16,58894.11,58850.38,43.72
2024-08-17,59478.97,58667.48,811.50
2024-08-18,58483.96,58545.66,-61.69
2024-08-19,59493.45,58311.67,1181.78
2024-08-20,59012.79,58200.52,812.28
2024-08-21,61175.19,58092.12,3083.07
2024-08-22,60381.91,58332.38,2049.54
