Date,Actual,Predicted,Difference
2024-03-01,62440.63,57428.33,5012.30
2024-03-02,62029.85,59083.77,2946.08
2024-03-03,63167.37,60262.30,2905.07
2024-03-04,68330.41,61259.34,7071.08
2024-03-05,63801.20,62988.14,813.07
2024-03-06,66106.80,63785.99,2320.82
2024-03-07,66925.48,64531.62,2393.87
2024-03-08,68300.09,65278.81,3021.28
2024-03-09,68498.88,66147.30,2351.58
2024-03-10,69019.79,66929.49,2090.30
2024-03-11,72123.91,67627.31,4496.59
2024-03-12,71481.29,68762.70,2718.59
2024-03-13,73083.50,69708.32,3375.18
2024-03-14,71396.59,70710.07,686.52
2024-03-15,69403.77,71202.51,-1798.73
2024-03-16,65315.12,71030.17,-5715.05
2024-03-17,68390.62,69862.74,-1472.11
2024-03-18,67548.59,69178.06,-1629.46
2024-03-19,61912.77,68639.40,-6726.63
2024-03-20,67913.67,67167.90,745.77
2024-03-21,65491.39,66804.36,-1312.97
2024-03-22,63778.76,66450.98,-2672.21
2024-03-23,64062.20,65833.66,-1771.46
2024-03-24,67234.17,65294.52,1939.64
2024-03-25,69958.81,65498.09,4460.72
2024-03-26,69987.84,66458.54,3529.29
2024-03-27,69455.34,67504.92,1950.42
2024-03-28,70744.95,68267.74,2477.21
2024-03-29,69892.83,69031.02,861.80
2024-03-30,69645.30,69478.44,166.86
2024-03-31,71333.65,69679.76,1653.89
2024-04-01,69702.15,70085.76,-383.62
2024-04-02,65446.97,70165.42,-4718.45
2024-04-03,65980.81,69285.81,-3305.00
2024-04-04,68508.84,68346.71,162.13
2024-04-05,67837.64,68064.75,-227.11
2024-04-06,68896.11,67943.94,952.17
2024-04-07,69362.55,68106.69,1255.87
2024-04-08,71631.36,68426.48,3204.88
2024-04-09,69139.02,69180.44,-41.43
2024-04-10,70587.88,69452.02,1135.87
2024-04-11,70060.61,69780.06,280.55
2024-04-12,67195.87,69962.33,-2766.46
2024-04-13,63821.47,69499.36,-5677.89
2024-04-14,65738.73,68246.80,-2508.07
2024-04-15,63426.21,67334.52,-3908.31
2024-04-16,63811.86,66280.03,-2468.17
2024-04-17,61276.69,65453.74,-4177.04
2024-04-18,63512.75,64384.66,-871.91
2024-04-19,63843.57,63861.49,-17.92
2024-04-20,64994.44,63699.04,1295.39
2024-04-21,64926.64,63916.65,1010.00
2024-04-22,66837.68,64213.72,2623.95
2024-04-23,66407.27,64847.68,1559.60
2024-04-24,64276.90,65395.90,-1119.01
2024-04-25,64481.71,65395.04,-913.34
2024-04-26,63755.32,65236.92,-1481.61
2024-04-27,63419.14,64915.72,-1496.58
2024-04-28,63113.23,64536.28,-1423.05
2024-04-29,63841.12,64151.72,-310.60
2024-04-30,60636.86,63979.22,-3342.37
2024-05-01,58254.01,63303.80,-5049.79
2024-05-02,59123.43,62125.17,-3001.73
2024-05-03,62889.84,61155.02,1734.82
2024-05-04,63891.47,61162.72,2728.75
2024-05-05,64031.13,61719.52,2311.61
2024-05-06,63161.95,62390.65,771.30
