Date,Actual,Predicted,Difference
2023-03-02,23475.47,23639.00,-163.53
2023-03-03,22362.68,23548.86,-1186.19
2023-03-04,22353.35,23379.95,-1026.60
2023-03-05,22435.51,23179.79,-744.27
2023-03-06,22429.76,22990.72,-560.96
2023-03-07,22219.77,22830.03,-610.26
2023-03-08,21718.08,22683.22,-965.14
2023-03-09,20363.02,22506.73,-2143.71
2023-03-10,20187.24,22179.01,-1991.77
2023-03-11,20632.41,21771.00,-1138.59
2023-03-12,22163.95,21405.00,758.95
2023-03-13,24197.53,21278.14,2919.40
2023-03-14,24746.07,21551.58,3194.49
2023-03-15,24375.96,22121.88,2254.08
2023-03-16,25052.79,22785.53,2267.26
2023-03-17,27423.93,23514.57,3909.36
2023-03-18,26965.88,24473.42,2492.46
2023-03-19,28038.68,25419.27,2619.40
2023-03-20,27767.24,26372.14,1395.10
2023-03-21,28175.82,27184.98,990.83
2023-03-22,27307.44,27857.54,-550.10
2023-03-23,28333.97,28254.40,79.58
2023-03-24,27493.29,28542.22,-1048.94
2023-03-25,27494.71,28621.40,-1126.69
2023-03-26,27994.33,28555.25,-560.92
2023-03-27,27139.89,28458.37,-1318.48
2023-03-28,27268.13,28250.64,-982.51
2023-03-29,28348.44,28013.01,335.43
2023-03-30,28033.56,27908.01,125.55
2023-03-31,28478.48,27865.79,612.70
2023-04-01,28411.04,27924.74,486.29
2023-04-02,28199.31,28037.26,162.05
2023-04-03,27790.22,28150.02,-359.79
2023-04-04,28168.09,28204.95,-36.86
2023-04-05,28177.98,28261.44,-83.45
2023-04-06,28044.14,28313.30,-269.16
2023-04-07,27925.86,28341.97,-416.11
2023-04-08,27947.79,28339.63,-391.83
2023-04-09,28333.05,28320.83,12.22
2023-04-10,29652.98,28337.70,1315.28
2023-04-11,30235.06,28530.07,1704.99
2023-04-12,30139.05,28882.42,1256.63
2023-04-13,30399.07,29287.82,1111.25
2023-04-14,30485.70,29713.94,771.75
2023-04-15,30318.50,30112.68,205.81
2023-04-16,30315.36,30426.99,-111.63
2023-04-17,29445.04,30648.06,-1203.01
2023-04-18,30397.55,30678.42,-280.87
2023-04-19,28822.68,30691.96,-1869.28
2023-04-20,28245.99,30504.34,-2258.36
2023-04-21,27276.91,30143.30,-2866.39
2023-04-22,27817.50,29598.55,-1781.05
2023-04-23,27591.38,29060.96,-1469.57
2023-04-24,27525.34,28562.68,-1037.34
2023-04-25,28307.60,28142.39,165.21
2023-04-26,28422.70,27914.75,507.95
2023-04-27,29473.79,27854.00,1619.79
2023-04-28,29340.26,28034.92,1305.34
2023-04-29,29248.49,28339.14,909.35
2023-04-30,29268.81,28681.37,587.44
2023-05-01,28091.57,29012.42,-920.85
2023-05-02,28680.54,29159.65,-479.12
2023-05-03,29006.31,29239.36,-233.05
2023-05-04,28847.71,29299.54,-451.83
2023-05-05,29534.38,29319.74,214.65
2023-05-06,28904.62,29391.52,-486.89
2023-05-07,28454.98,29412.16,-957.18
2023-05-08,27694.27,29346.25,-1651.97
2023-05-09,27658.78,29142.49,-1483.72
2023-05-10,27621.76,28868.56,-1246.80
2023-05-11,27000.79,28574.73,-1573.94
2023-05-12,26804.99,28229.66,-1424.67
2023-05-13,26784.08,27869.72,-1085.64
2023-05-14,26930.64,27540.02,-609.38
2023-05-15,27192.69,27285.67,-92.98
2023-05-16,27036.65,27141.16,-104.52
2023-05-17,27398.80,27068.42,330.39
2023-05-18,26832.21,27094.32,-262.11
2023-05-19,26890.13,27117.24,-227.11
